PLN_AREA_N,Green Spaces
TENGAH,0
MARINA SOUTH,0
PAYA LEBAR,0
MANDAI,1
CHANGI BAY,0.664945524
NEWTON,0.661528247
MARINA EAST,0.591948625
LIM CHU KANG,0.400183251
OUTRAM,0.255714845
MARINE PARADE,0.231928174
SIMPANG,0.164751937
SELETAR,0.154800087
BISHAN,0.124390701
ORCHARD,0.06929154
CHANGI,0.067764586
SOUTHERN ISLANDS,0.06218979
SINGAPORE RIVER,0.053540671
PUNGGOL,0.039742055
JURONG EAST,0.025027776
ROCHOR,0.022375225
WOODLANDS,0.018847539
ANG MO KIO,0.017490932
PASIR RIS,0.014950098
SEMBAWANG,0.014328837
YISHUN,0.013035751
SENGKANG,0.011805791
RIVER VALLEY,0.011139627
CHOA CHU KANG,0.007498884
BUKIT BATOK,0.006676323
KALLANG,0.006554351
TOA PAYOH,0.004725459
QUEENSTOWN,0.004159185
JURONG WEST,0.003080921
BEDOK,0.002696564
BUKIT TIMAH,0.002510825
TAMPINES,0.002132077
SERANGOON,0.001935721
BOON LAY,0.001647949
NOVENA,0.001548635
GEYLANG,0.00094544
CLEMENTI,0.000785787
TANGLIN,0.000673649
TUAS,0.000655129
HOUGANG,0.000592576
NORTH-EASTERN ISLANDS,0.000242713
WESTERN ISLANDS,0.000233725
BUKIT MERAH,0.000229386
WESTERN WATER CATCHMENT,0.000224631
CENTRAL WATER CATCHMENT,0.000186713
SUNGEI KADUT,0.000159824
DOWNTOWN CORE,7.99E-05
MUSEUM,7.71E-05
BUKIT PANJANG,3.75E-06
STRAITS VIEW,0
PIONEER,0
