PLN_AREA_N,Education
ANG MO KIO,0.639381742
BEDOK,0.641618054
BISHAN,0.694326312
BOON LAY,0
BUKIT BATOK,0.61976505
BUKIT MERAH,0.662387477
BUKIT PANJANG,0.64458934
BUKIT TIMAH,0.999524291
CENTRAL WATER CATCHMENT,0
CHANGI,0
CHANGI BAY,0
CHOA CHU KANG,0.670930452
CLEMENTI,0.662770844
DOWNTOWN CORE,0
GEYLANG,0.658243284
HOUGANG,0.621143285
JURONG EAST,0.596386408
JURONG WEST,0.643896551
KALLANG,0.579748057
LIM CHU KANG,0
MANDAI,0
MARINA EAST,0
MARINA SOUTH,0
MARINE PARADE,0.85958521
MUSEUM,0
NEWTON,0.548289483
NORTH-EASTERN ISLANDS,0
NOVENA,1
ORCHARD,0
OUTRAM,0.396455472
PASIR RIS,0.607057145
PAYA LEBAR,0
PIONEER,0
PUNGGOL,0.855464654
QUEENSTOWN,0.62706128
RIVER VALLEY,0.548289483
ROCHOR,0.518037733
SELETAR,0
SEMBAWANG,0.666144249
SENGKANG,0.723868128
SERANGOON,0.601493181
SIMPANG,0
SINGAPORE RIVER,0
SOUTHERN ISLANDS,0
STRAITS VIEW,0
SUNGEI KADUT,0
TAMPINES,0.611526719
TANGLIN,0
TENGAH,0
TOA PAYOH,0.793592922
TUAS,0
WESTERN ISLANDS,0
WESTERN WATER CATCHMENT,0
WOODLANDS,0.633796208
YISHUN,0.647308845
