OBJECTID,PLN_AREA_N,PLN_AREA_C
1,PASIR RIS,PR
2,MANDAI,MD
3,OUTRAM,OT
4,MARINA SOUTH,MS
5,STRAITS VIEW,SV
6,CHANGI,CH
7,SEMBAWANG,SB
8,JURONG EAST,JE
9,PIONEER,PN
10,BOON LAY,BL
11,BUKIT MERAH,BM
12,WESTERN WATER CATCHMENT,WC
13,ANG MO KIO,AM
14,JURONG WEST,JW
15,TENGAH,TH
16,ORCHARD,OR
17,CHOA CHU KANG,CK
18,SIMPANG,SM
19,CLEMENTI,CL
20,PAYA LEBAR,PL
21,WOODLANDS,WD
22,SENGKANG,SE
23,YISHUN,YS
24,SINGAPORE RIVER,SR
25,QUEENSTOWN,QT
26,NORTH-EASTERN ISLANDS,NE
27,BUKIT PANJANG,BP
28,TANGLIN,TN
29,GEYLANG,GL
30,PUNGGOL,PG
31,BUKIT TIMAH,BT
32,TUAS,TS
33,LIM CHU KANG,LK
34,WESTERN ISLANDS,WI
35,TAMPINES,TM
36,SELETAR,SL
37,SUNGEI KADUT,SK
38,BUKIT BATOK,BK
39,MUSEUM,MU
40,RIVER VALLEY,RV
41,CHANGI BAY,CB
42,SOUTHERN ISLANDS,SI
43,CENTRAL WATER CATCHMENT,CC
44,NEWTON,NT
45,MARINE PARADE,MP
46,DOWNTOWN CORE,DT
47,KALLANG,KL
48,BISHAN,BS
49,TOA PAYOH,TP
50,HOUGANG,HG
51,SERANGOON,SG
52,BEDOK,BD
53,ROCHOR,RC
54,MARINA EAST,ME
55,NOVENA,NV
