PLN_AREA_N,Crime,Crime_rank
NOVENA,0,1
ANG MO KIO,0.836878097,20
BEDOK,0.875074178,24
BISHAN,0.764506553,15
BUKIT BATOK,0.73711015,14
BUKIT MERAH ,0.736222748,13
BUKIT PANJANG,0.784372932,16
BUKIT TIMAH,0.91636204,26
CHANGI,0.943552098,28
CHOA CHU KANG,0.427922333,5
CLEMENTI,0.704834124,9
GEYLANG,0.067132439,2
HOUGANG,0.709204188,11
JURONG EAST,0.850759036,21
JURONG WEST,0.70520561,10
NEWTON,0,1
MARINE PARADE,0.661857591,7
MUSEUM,0.278930102,3
TANGLIN,0.278930102,3
PASIR RIS,0.854618851,23
QUEENSTOWN,0.857028971,22
KALLANG,0.423408409,4
SEMBAWANG,0.883475797,25
SERANGOON,0.798291703,17
TAMPINES,0.814938493,18
TOA PAYOH,0.590009265,5
WOODLANDS,0.833878853,19
YISHUN,0.930906369,27
SENGKANG,0.712049958,12
PUNGGOL,0.960924153,29
MANDAI,0.645501216,6
SUNGEI KADUT,0.669107344,8
ORCHARD,0.278930102,3
OUTRAM,0.736222748,13
SINGAPORE RIVER,0.423408409,4
SOUTHERN ISLANDS,0.857028971,22
WESTERN WATER CATCHMENT,0.70520561,10
RIVER VALLEY,0.278930102,3
ROCHOR,0.423408409,4
SELETAR,0.645501216,6
