PLN_AREA_N,Education,Education_rank
ANG MO KIO,0.639381742,17
BEDOK,0.641618054,16
BISHAN,0.694326312,7
BUKIT BATOK,0.61976505,21
BUKIT MERAH,0.662387477,11
BUKIT PANJANG,0.64458934,14
BUKIT TIMAH,0.999524291,2
CHANGI,0,31
CHOA CHU KANG,0.670930452,8
CLEMENTI,0.662770844,10
GEYLANG,0.658243284,12
HOUGANG,0.621143285,20
JURONG EAST,0.596386408,25
JURONG WEST,0.643896551,15
KALLANG,0.579748057,26
MANDAI,0,31
MARINE PARADE,0.85958521,3
MUSEUM,0,31
NEWTON,0.548289483,27
NOVENA,1,1
ORCHARD,0,31
OUTRAM,0.396455472,30
PASIR RIS,0.607057145,23
PUNGGOL,0.855464654,4
QUEENSTOWN,0.62706128,19
RIVER VALLEY,0.548289483,27
ROCHOR,0.518037733,29
SELETAR,0,31
SEMBAWANG,0.666144249,9
SENGKANG,0.723868128,6
SERANGOON,0.601493181,24
SINGAPORE RIVER,0,31
SOUTHERN ISLANDS,0,31
SUNGEI KADUT,0,31
TAMPINES,0.611526719,22
TANGLIN,0,31
TOA PAYOH,0.793592922,5
WESTERN WATER CATCHMENT,0,31
WOODLANDS,0.633796208,18
YISHUN,0.647308845,13
