PLN_AREA_N,Food,Food_rank
ANG MO KIO,0.514423077,7
BEDOK,0.620192308,5
BISHAN,0.302884615,18
BUKIT BATOK,0.149038462,25
BUKIT MERAH,0.519230769,6
BUKIT PANJANG,0.033653846,34
BUKIT TIMAH,0.461538462,9
CHANGI,0.798076923,2
CHOA CHU KANG,0.081730769,30
CLEMENTI,0.408653846,15
GEYLANG,0.509615385,8
HOUGANG,0.456730769,10
JURONG EAST,0.355769231,17
JURONG WEST,0.259615385,19
KALLANG,0.423076923,14
MANDAI,0.004807692,37
MARINE PARADE,0.120192308,29
MUSEUM,0.014423077,36
NEWTON,0.379807692,16
NOVENA,0.125,27
ORCHARD,1,1
OUTRAM,0.456730769,10
PASIR RIS,0.125,27
PUNGGOL,0.0625,32
QUEENSTOWN,0.432692308,13
RIVER VALLEY,0.774038462,3
ROCHOR,0.019230769,35
SELETAR,0.072115385,31
SEMBAWANG,0.129807692,26
SENGKANG,0.158653846,22
SERANGOON,0.644230769,4
SINGAPORE RIVER,0.052884615,33
SOUTHERN ISLANDS,0,38
SUNGEI KADUT,0,38
TAMPINES,0.168269231,21
TANGLIN,0.153846154,24
TOA PAYOH,0.4375,12
WESTERN WATER CATCHMENT,0,38
WOODLANDS,0.201923077,20
YISHUN,0.158653846,22
,,38
