PLN_AREA_N,Green Spaces,Green Spaces_rank
ANG MO KIO,0.017490932,15
BEDOK,0.002696563,27
BISHAN,0.124390702,6
BUKIT BATOK,0.006676323,22
BUKIT MERAH,0.000229386,36
BUKIT PANJANG,3.75E-06,40
BUKIT TIMAH,0.002510826,28
CHANGI,0.067764586,8
CHOA CHU KANG,0.007498882,21
CLEMENTI,0.000785786,33
GEYLANG,0.00094544,32
HOUGANG,0.000592577,35
JURONG EAST,0.025027777,12
JURONG WEST,0.003080921,26
KALLANG,0.006554351,23
MANDAI,1,1
MARINE PARADE,0.231928175,4
MUSEUM,7.71E-05,39
NEWTON,0.661528246,2
NOVENA,0.001548634,31
ORCHARD,0.06929154,7
OUTRAM,0.255714844,3
PASIR RIS,0.014950098,16
PUNGGOL,0.039742056,11
QUEENSTOWN,0.004159184,25
RIVER VALLEY,0.011139626,20
ROCHOR,0.022375226,13
SELETAR,0.154800085,5
SEMBAWANG,0.014328838,17
SENGKANG,0.01180579,19
SERANGOON,0.001935722,30
SINGAPORE RIVER,0.05354067,10
SOUTHERN ISLANDS,0.062189791,9
SUNGEI KADUT,0.000159824,38
TAMPINES,0.002132078,29
TANGLIN,0.00067365,34
TOA PAYOH,0.004725458,24
WESTERN WATER CATCHMENT,0.000224631,37
WOODLANDS,0.01884754,14
YISHUN,0.01303575,18
