OBJECTID,PLN_AREA_N,PLN_AREA_C,Crime,Crime_rank,Education,Education_rank,Food,Food_rank,Green Spaces,Green Spaces_rank,Healthcare,Healthcare_rank
1,PASIR RIS,PR,0.854618851,23,0.607057145,23,0.125,27,0.014950098,16,0.287671233,20
2,MANDAI,MD,0.645501216,6,0,31,0.004807692,37,1,1,0,36
3,OUTRAM,OT,0.736222748,13,0.396455472,30,0.456730769,10,0.255714844,3,0.164383562,28
4,MARINA SOUTH,MS,0,0,0,0,0,0,0,0,0,0
5,STRAITS VIEW,SV,0,0,0,0,0,0,0,0,0,0
6,CHANGI,CH,0.943552098,28,0,31,0.798076923,2,0.067764586,8,0.095890411,30
7,SEMBAWANG,SB,0.883475797,25,0.666144249,9,0.129807692,26,0.014328838,17,0.150684932,29
8,JURONG EAST,JE,0.850759036,21,0.596386408,25,0.355769231,17,0.025027777,12,0.342465753,15
9,PIONEER,PN,0,0,0,0,0,0,0,0,0,0
10,BOON LAY,BL,0,0,0,0,0,0,0,0,0,0
11,BUKIT MERAH,BM,0.736222748,13,0.662387477,11,0.519230769,6,0.000229386,36,0.657534247,6
12,WESTERN WATER CATCHMENT,WC,0.70520561,10,0,31,0,38,0.000224631,37,0.01369863,34
13,ANG MO KIO,AM,0.836878097,20,0.639381742,17,0.514423077,7,0.017490932,15,0.684931507,4
14,JURONG WEST,JW,0.70520561,10,0.643896551,15,0.259615385,19,0.003080921,26,0.753424658,3
15,TENGAH,TH,0,0,0,0,0,0,0,0,0,0
16,ORCHARD,OR,0.278930102,3,0,31,1,1,0.06929154,7,0.219178082,22
17,CHOA CHU KANG,CK,0.427922333,5,0.670930452,8,0.081730769,30,0.007498882,21,0.328767123,16
18,SIMPANG,SM,0,0,0,0,0,0,0,0,0,0
19,CLEMENTI,CL,0.704834124,9,0.662770844,10,0.408653846,15,0.000785786,33,0.287671233,20
20,PAYA LEBAR,PL,0,0,0,0,0,0,0,0,0,0
21,WOODLANDS,WD,0.833878853,19,0.633796208,18,0.201923077,20,0.01884754,14,0.424657534,11
22,SENGKANG,SE,0.712049958,12,0.723868128,6,0.158653846,22,0.01180579,19,0.369863014,14
23,YISHUN,YS,0.930906369,27,0.647308845,13,0.158653846,22,0.01303575,18,0.671232877,5
24,SINGAPORE RIVER,SR,0.423408409,4,0,31,0.052884615,33,0.05354067,10,0,36
25,QUEENSTOWN,QT,0.857028971,22,0.62706128,19,0.432692308,13,0.004159184,25,0.383561644,12
26,NORTH-EASTERN ISLANDS,NE,0,0,0,0,0,0,0,0,0,0
27,BUKIT PANJANG,BP,0.784372932,16,0.64458934,14,0.033653846,34,3.75E-06,40,0.219178082,22
28,TANGLIN,TN,0.278930102,3,0,31,0.153846154,24,0.00067365,34,0.04109589,32
29,GEYLANG,GL,0.067132439,2,0.658243284,12,0.509615385,8,0.00094544,32,0.452054795,9
30,PUNGGOL,PG,0.960924153,29,0.855464654,4,0.0625,32,0.039742056,11,0.315068493,17
31,BUKIT TIMAH,BT,0.91636204,26,0.999524291,2,0.461538462,9,0.002510826,28,0.219178082,22
32,TUAS,TS,0,0,0,0,0,0,0,0,0,0
33,LIM CHU KANG,LK,0,0,0,0,0,0,0,0,0,0
34,WESTERN ISLANDS,WI,0,0,0,0,0,0,0,0,0,0
35,TAMPINES,TM,0.814938493,18,0.611526719,22,0.168269231,21,0.002132078,29,0.876712329,2
36,SELETAR,SL,0.645501216,6,0,31,0.072115385,31,0.154800085,5,0,36
37,SUNGEI KADUT,SK,0.669107344,8,0,31,0,38,0.000159824,38,0,36
38,BUKIT BATOK,BK,0.73711015,14,0.61976505,21,0.149038462,25,0.006676323,22,0.438356164,10
39,MUSEUM,MU,0.278930102,3,0,31,0.014423077,36,7.71E-05,39,0.04109589,32
40,RIVER VALLEY,RV,0.278930102,3,0.548289483,27,0.774038462,3,0.011139626,20,0,36
41,CHANGI BAY,CB,0,0,0,0,0,0,0,0,0,0
42,SOUTHERN ISLANDS,SI,0.857028971,22,0,31,0,38,0.062189791,9,0.01369863,34
43,CENTRAL WATER CATCHMENT,CC,0,0,0,0,0,0,0,0,0,0
44,NEWTON,NT,0,1,0.548289483,27,0.379807692,16,0.661528246,2,0.054794521,31
45,MARINE PARADE,MP,0.661857591,7,0.85958521,3,0.120192308,29,0.231928175,4,0.178082192,27
46,DOWNTOWN CORE,DT,0,0,0,0,0,0,0,0,0,0
47,KALLANG,KL,0.423408409,4,0.579748057,26,0.423076923,14,0.006554351,23,0.383561644,12
48,BISHAN,BS,0.764506553,15,0.694326312,7,0.302884615,18,0.124390702,6,0.205479452,26
49,TOA PAYOH,TP,0.590009265,5,0.793592922,5,0.4375,12,0.004725458,24,0.547945205,8
50,HOUGANG,HG,0.709204188,11,0.621143285,20,0.456730769,10,0.000592577,35,0.589041096,7
51,SERANGOON,SG,0.798291703,17,0.601493181,24,0.644230769,4,0.001935722,30,0.315068493,17
52,BEDOK,BD,0.875074178,24,0.641618054,16,0.620192308,5,0.002696563,27,1,1
53,ROCHOR,RC,0.423408409,4,0.518037733,29,0.019230769,35,0.022375226,13,0.219178082,22
54,MARINA EAST,ME,0,0,0,0,0,0,0,0,0,0
55,NOVENA,NV,0,1,1,1,0.125,27,0.001548634,31,0.315068493,17
